"congress","state","congressional_district","party","name","ideology_score"
112,"NORTH D",1,"Republican","BERG",0.504
112,"OHIO",1,"Republican","CHABOT",0.846
112,"OHIO",2,"Republican","SCHMIDT",0.735
112,"OHIO",3,"Republican","TURNER",0.498
112,"OHIO",4,"Republican","JORDAN",0.928
112,"OHIO",5,"Republican","LATTA",0.722
112,"OHIO",6,"Republican","JOHNSON",0.773
112,"OHIO",7,"Republican","AUSTRIA",0.575
112,"OHIO",9,"Democrat","KAPTUR",-0.377
112,"OHIO",10,"Democrat","KUCINICH",-0.729
112,"OHIO",11,"Democrat","FUDGE",-0.505
112,"OHIO",12,"Republican","TIBERI",0.684
112,"OHIO",13,"Democrat","SUTTON",-0.398
112,"OHIO",14,"Republican","LATOURET",0.437
112,"OHIO",15,"Republican","STIVERS",0.624
112,"OHIO",16,"Republican","RENACCI",0.717
112,"OHIO",17,"Democrat","RYAN",-0.382
112,"OHIO",18,"Republican","GIBBS",0.639
112,"OKLAHOM",1,"Republican","SULLIVAN",0.726
112,"OKLAHOM",2,"Democrat","BOREN",-0.071
112,"OKLAHOM",3,"Republican","LUCAS",0.494
112,"OKLAHOM",4,"Republican","COLE",0.442
112,"OKLAHOM",5,"Republican","LANKFORD",0.756
112,"OREGON",1,"Democrat","WU",-0.379
112,"OREGON",1,"Democrat","BONAMICI",-0.414
112,"OREGON",2,"Republican","WALDEN",0.635
112,"OREGON",3,"Democrat","BLUMENAU",-0.49
112,"OREGON",4,"Democrat","DEFAZIO",-0.478
112,"OREGON",5,"Democrat","SCHRADER",-0.238
112,"PENNSYL",1,"Democrat","BRADY",-0.415
112,"PENNSYL",2,"Democrat","FATTAH",-0.385
112,"PENNSYL",3,"Republican","KELLY",0.448
112,"PENNSYL",4,"Democrat","ALTMIRE",-0.127
112,"PENNSYL",5,"Republican","THOMPSON",0.495
112,"PENNSYL",6,"Republican","GERLACH",0.536
112,"PENNSYL",7,"Republican","MEEHAN",0.438
112,"PENNSYL",8,"Republican","FITZPATRI",0.558
112,"PENNSYL",9,"Republican","SHUSTER",0.536
112,"PENNSYL",10,"Republican","MARINO",0.502
112,"PENNSYL",11,"Republican","BARLETTA",0.402
112,"PENNSYL",12,"Democrat","CRITZ",-0.265
112,"PENNSYL",13,"Democrat","SCHWARTZ",-0.328
112,"PENNSYL",14,"Democrat","DOYLE",-0.396
112,"PENNSYL",15,"Republican","DENT",0.533
112,"PENNSYL",16,"Republican","PITTS",0.814
112,"PENNSYL",17,"Democrat","HOLDEN",-0.239
112,"PENNSYL",18,"Republican","MURPHY",0.451
112,"PENNSYL",19,"Republican","PLATTS",0.531
112,"RHODE I",1,"Democrat","CICILLINE",-0.403
112,"RHODE I",2,"Democrat","LANGEVIN",-0.349
112,"SOUTH C",1,"Republican","SCOTT",0.896
112,"SOUTH C",2,"Republican","WILSON",0.805
112,"SOUTH C",3,"Republican","DUNCAN",0.977
112,"SOUTH C",4,"Republican","GOWDY",0.908
112,"SOUTH C",5,"Republican","MULVANEY",1
112,"SOUTH C",6,"Democrat","CLYBURN",-0.378
112,"SOUTH D",1,"Republican","NOEM",0.537
112,"TENNESS",1,"Republican","ROE",0.759
112,"TENNESS",2,"Republican","DUNCAN",1.076
112,"TENNESS",3,"Republican","FLEISCHMA",0.666
112,"TENNESS",4,"Republican","DESJARLAIS",0.784
112,"TENNESS",5,"Democrat","COOPER",-0.262
112,"TENNESS",6,"Republican","BLACK",0.733
112,"TENNESS",7,"Republican","BLACKBURN",0.799
112,"TENNESS",8,"Republican","FINCHER",0.774
112,"TENNESS",9,"Democrat","COHEN",-0.412
112,"TEXAS",1,"Republican","GOHMERT",0.954
112,"TEXAS",2,"Republican","POE",0.91
112,"TEXAS",3,"Republican","JOHNSON",0.765
112,"TEXAS",4,"Republican","HALL",0.67
112,"TEXAS",5,"Republican","HENSARLIN",0.879
112,"TEXAS",6,"Republican","BARTON",0.696
112,"TEXAS",7,"Republican","CULBERSO",0.599
112,"TEXAS",8,"Republican","BRADY",0.745
112,"TEXAS",9,"Democrat","GREEN",-0.364
112,"TEXAS",10,"Republican","MCCAUL",0.7
112,"TEXAS",11,"Republican","CONAWAY",0.795
112,"TEXAS",12,"Republican","GRANGER",0.592
112,"TEXAS",13,"Republican","THORNBER",0.743
112,"TEXAS",14,"Republican","PAUL",1.376
112,"TEXAS",15,"Democrat","HINOJOSA",-0.332
112,"TEXAS",16,"Democrat","REYES",-0.301
112,"TEXAS",17,"Republican","FLORES",0.82
112,"TEXAS",18,"Democrat","JACKSON-",-0.435
112,"TEXAS",19,"Republican","NEUGEBAUE",0.816
112,"TEXAS",20,"Democrat","GONZALEZ",-0.299
112,"TEXAS",21,"Republican","SMITH",0.588
112,"TEXAS",22,"Republican","OLSON",0.686
112,"TEXAS",23,"Republican","CANSECO",0.696
112,"TEXAS",24,"Republican","MARCHANT",0.87
